Oocyte..1.RPKM.	Oocyte..2.RPKM.	Oocyte..3.RPKM.	Zygote..1.RPKM.	Zygote..2.RPKM.	Zygote..3.RPKM.	X2.cell.embryo.1..Cell.1.RPKM.	X2.cell.embryo.1..Cell.2.RPKM.	X2.cell.embryo.2..Cell.1.RPKM.	X2.cell.embryo.2..Cell.2.RPKM.	X2.cell.embryo.3..Cell.1.RPKM.	X2.cell.embryo.3..Cell.2.RPKM.	X4.cell.embryo.1..Cell.1.RPKM.	X4.cell.embryo.1..Cell.2.RPKM.	X4.cell.embryo.1..Cell.3.RPKM.	X4.cell.embryo.1..Cell.4.RPKM.	X4.cell.embryo.2..Cell.1.RPKM.	X4.cell.embryo.2..Cell.2.RPKM.	X4.cell.embryo.2..Cell.3.RPKM.	X4.cell.embryo.2..Cell.4.RPKM.	X4.cell.embryo.3..Cell.1.RPKM.	X4.cell.embryo.3..Cell.2.RPKM.	X4.cell.embryo.3..Cell.3.RPKM.	X4.cell.embryo.3..Cell.4.RPKM.	X8.cell.embryo.1..Cell.1.RPKM.	X8.cell.embryo.1..Cell.2.RPKM.	X8.cell.embryo.1..Cell.3.RPKM.	X8.cell.embryo.1..Cell.4.RPKM.	X8.cell.embryo.2..Cell.1.RPKM.	X8.cell.embryo.2..Cell.2.RPKM.	X8.cell.embryo.2..Cell.3.RPKM.	X8.cell.embryo.2..Cell.4.RPKM.	X8.cell.embryo.2..Cell.5.RPKM.	X8.cell.embryo.2..Cell.6.RPKM.	X8.cell.embryo.2..Cell.7.RPKM.	X8.cell.embryo.2..Cell.8.RPKM.	X8.cell.embryo.3..Cell.1.RPKM.	X8.cell.embryo.3..Cell.2.RPKM.	X8.cell.embryo.3..Cell.3.RPKM.	X8.cell.embryo.3..Cell.4.RPKM.	X8.cell.embryo.3..Cell.5.RPKM.	X8.cell.embryo.3..Cell.6.RPKM.	X8.cell.embryo.3..Cell.7.RPKM.	X8.cell.embryo.3..Cell.8.RPKM.	Morulae..1..Cell.1.RPKM.	Morulae..1..Cell.2.RPKM.	Morulae..1..Cell.3.RPKM.	Morulae..1..Cell.4.RPKM.	Morulae..1..Cell.5.RPKM.	Morulae..1..Cell.6.RPKM.	Morulae..1..Cell.7.RPKM.	Morulae..1..Cell.8.RPKM.	Morulae..2..Cell.1.RPKM.	Morulae..2..Cell.2.RPKM.	Morulae..2..Cell.3.RPKM.	Morulae..2..Cell.4.RPKM.	Morulae..2..Cell.5.RPKM.	Morulae..2..Cell.6.RPKM.	Morulae..2..Cell.7.RPKM.	Morulae..2..Cell.8.RPKM.	Late.blastocyst..1..Cell.1.RPKM.	Late.blastocyst..1..Cell.2.RPKM.	Late.blastocyst..1..Cell.3.RPKM.	Late.blastocyst..1..Cell.4.RPKM.	Late.blastocyst..1..Cell.5.RPKM.	Late.blastocyst..1..Cell.6.RPKM.	Late.blastocyst..1..Cell.7.RPKM.	Late.blastocyst..1..Cell.8.RPKM.	Late.blastocyst..1..Cell.9.RPKM.	Late.blastocyst..1..Cell.10.RPKM.	Late.blastocyst..1..Cell.11.RPKM.	Late.blastocyst..1..Cell.12.RPKM.	Late.blastocyst..2..Cell.1.RPKM.	Late.blastocyst..2..Cell.2.RPKM.	Late.blastocyst..2..Cell.3.RPKM.	Late.blastocyst..2..Cell.4.RPKM.	Late.blastocyst..2..Cell.5.RPKM.	Late.blastocyst..2..Cell.6.RPKM.	Late.blastocyst..2..Cell.7.RPKM.	Late.blastocyst..2..Cell.8.RPKM.	Late.blastocyst..2..Cell.9.RPKM.	Late.blastocyst..2..Cell.10.RPKM.	Late.blastocyst..3..Cell.1.RPKM.	Late.blastocyst..3..Cell.2.RPKM.	Late.blastocyst..3..Cell.3.RPKM.	Late.blastocyst..3..Cell.4.RPKM.	Late.blastocyst..3..Cell.5.RPKM.	Late.blastocyst..3..Cell.6.RPKM.	Late.blastocyst..3..Cell.7.RPKM.	Late.blastocyst..3..Cell.8.RPKM.	gen
7	12.2	9.3	52.1	70.7	58.6	48.6	47.7	64.4	56.1	57.6	60	60.7	53.9	66.8	75.2	45.8	73.2	56.4	59.1	65.1	78.7	89.6	79.2	26.7	56.5	25.6	24.5	8	23.1	17.9	6.1	2	3.9	8.6	5.7	10.4	4.1	3.7	10.4	8.9	2.5	4.9	2.7	5.9	3.5	0.3	2.9	1	6.8	9.9	0	7.4	0.5	3.5	15.4	11.6	4.3	4.7	3.5	0.1	0.6	0.9	0.5	0	0	8.8	0	0.1	12.8	1.8	1.6	4.6	0	0.1	0	0	10.8	0	0	0	2.6	10.6	0	0	0	0.1	0	0	1.5	ELMO2
15.9	20.8	23.2	30.1	33.4	37.1	24	25.4	34.2	36.3	28.4	29.6	59	50.1	51.3	55	36.7	38.5	32.9	32	44.2	47.8	49.4	42.8	10.5	16.2	8.4	20.6	0.4	2.2	0.2	0.8	0.2	1.9	1.4	0.7	2.1	1.2	1.4	3.8	3	4.7	1.4	7.8	0.7	1.3	34.5	1.1	0.1	0	0.4	12.1	0.6	0.5	0.4	0.2	0	0.2	1.2	1.3	0.1	1.5	2.5	2.4	0.2	1.9	0	0	0.1	0	0.5	0	0.9	0.4	3.8	0.4	0	0	0	0.2	0	0	0.4	0.2	0	0	0	0.6	0	0	ZHX3
1239.2	760	785.9	396.7	724.9	358.6	528.4	392.6	316.4	289.6	376.4	434.7	454.1	397.5	439.2	423.3	299.7	198.1	261.5	222.8	383.5	399.7	443.6	463.6	74.9	120.9	70.1	66.1	14.5	5.5	20.3	4.6	9	14.5	21	28	22.7	14.2	46.3	15.7	50.9	55.1	60.6	23.7	26.3	0	11.5	11.6	1.1	0	3.8	74.4	10.9	1	0.9	0	12.7	8.7	5.7	6.9	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.4	0	0	0	0	0.2	0	0.2	32.9	0	0	0	0	ZAR1L
5.8	4.2	4.6	13.4	15.3	17.9	3.7	3.5	4.5	4.9	4.2	4	7.5	24.8	23	4.9	11.3	9.2	7.4	8.7	12.7	12.2	10.1	8.4	6.1	9.6	7	9.7	2.7	1.8	2.1	7.1	2	0.4	0.8	3.6	3.6	0	7	6.4	1.2	5.4	0	1.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3	0.4	0	0	0	0	0	0	0	0	0	4.1	0	0	0	0	0	TEK
4	3.6	4.7	7.6	6.7	8.6	4.5	3.8	5.9	5.8	3.9	5.3	24.4	4.6	5.1	6.9	7.1	8.8	5.1	13.6	12.7	5.8	13	5.3	7.9	16	0.4	4.4	0	2	0	0	0	0	0	0	0	0	0	0	0	0.2	0	0	0	9.5	0.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0.3	0	0	0	0	0	0	0	0	0	0	0	0	0	CPNE4
4.1	4.2	3.9	2	1.5	2.1	0.9	1.1	2.5	1.3	1.4	1.3	6	0.8	2.2	0	4	0.6	1	3.4	1.5	3.1	2.1	3.3	0	0	0	0	0	0	1	0	0	0	0	0	0.1	0	0.3	0.4	0	0	0	0	0.4	0	0	1.1	1.2	0	0.6	0	0	0	0	3.3	0	0.3	1.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	PGBD5
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2	0	0	0	0	0	0	6.3	31.9	56	0	0	0	0	28.2	0.6	0.1	142.2	131.8	0.2	45.1	78.3	0.3	0	0	GYPC
3.3	4.7	6	13	13.3	7.4	10.9	10.1	8	8.1	3.6	6.5	0.3	2.6	0.9	8.7	8.2	3.4	10	7.3	10.5	1.5	10.4	8.2	0.2	1.7	0.6	8.2	0	0	0.8	0	0	0	0	0	0	0	0	4.5	3.2	0.1	0	0	0	0	0	1.8	0	0	0	0	5.8	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1	0.1	0	0	0	0	0	0	0	0	3.6	0	0	0	0	0	0	0	F8A1
81.7	62.7	76.1	54.2	40.9	46.9	29.5	39	47.4	37.8	41.6	37.9	51.3	67.8	28.6	28.1	47.2	30.3	49.6	38.1	53.1	25.5	49.9	48.3	12.4	36.4	19	39.3	6	7.1	9.3	7.6	12.4	0.3	18.2	15.1	51.4	25.4	26.4	29.6	33	8.2	36.8	25.9	31.7	4.3	0.5	6.7	9.9	8.2	1.9	0.6	5.4	0.2	14.4	13.5	18.3	1.4	2.1	5.3	10.8	11.3	0.3	1.4	0.3	4.1	0	4.9	0	0	3.8	2.8	0	0	0	0	0	27.2	0.2	18.1	0.2	0.1	14.8	7	4.4	0	0	0	0	1.1	CRELD2
13.1	14.8	20	4.7	3.8	3.6	3.3	1.9	1.5	1.2	3.7	1.3	0	10	0.2	12.1	0.2	7.1	11.9	9.1	2.1	0.5	4.4	6.3	9.8	16.8	0.2	7	1.1	0.4	0	0	0	0.9	0	0	4.7	0	10.1	0.2	12.2	1.4	0.4	3.7	0.4	1.6	18.8	1.5	6.5	7.4	0.2	0	1	0	0	0	9.9	0	0	5.8	131.1	69.1	77.7	38.2	121.3	85	141.6	66	145.2	98	73.9	33.4	57.4	82.4	62.3	97.1	21.6	27.7	113.9	39.4	13	144.3	31.5	71.6	57.9	49	89.1	101.6	53.1	93.5	C11orf73
